Date,IBEX,SPX,IBEX_RV,SPX_RV,IBEX_EGARCH,SPX_EGARCH,vol_ratio_RV,vol_ratio_EGARCH,DD_IBEX,DD_SPX,rolling_corr,rolling_beta,IBEX_exc_95,SPX_exc_95,IBEX_exc_99,SPX_exc_99,IBEX_sev_95,SPX_sev_95
2012-03-06,-0.034527855988291,-0.0154895061275441,0.18287536921936884,0.09154223196263446,1.313694055480717,1.059755371410479,1.997715866202766,1.2396200962230168,-0.5813741927166514,-0.3377699210110391,0.5917641884871631,0.878692249802641,1,1,1,0,-1.5068250809964512,-0.07024466137420649
2012-03-07,-0.0005879691845318,0.0068769217229941,0.18227566330162173,0.09456238562632213,1.283565922656824,1.023815753652458,1.9275704826431956,1.2537079235963193,-0.5816203317911837,-0.3332158165952198,0.5673415582326473,0.8873733660377825,0,0,0,0,,
2012-03-08,0.0176819809729463,0.0097700491747222,0.1975612919439693,0.10033017010152509,1.262206660620986,1.0214149808897035,1.9691115019944156,1.2357432426941115,-0.5742225504584478,-0.3267013023344282,0.5533758301392167,0.8777664373636606,0,0,0,0,,
2012-03-09,-0.0029777082551942,0.0036246730207315,0.19462195867116155,0.10087134860853765,1.261290055767621,1.0026590685213324,1.9294077193956436,1.2579450935677505,-0.5754903914848233,-0.32426081471010615,0.5103984267511735,0.866644079394864,0,0,0,0,,
2012-03-12,-0.0124523553155278,0.0001604477867881,0.19496336239369555,0.09684304285903797,1.2701472397048927,1.0113259070362333,2.013189142326711,1.2559227751093165,-0.5807765359649097,-0.32415239385338046,0.5080647359821807,0.8656467668574014,0,0,0,0,,
2012-03-13,0.0237492981312118,0.0179691330904342,0.2178501083809068,0.11250615503958084,1.2568566894385316,1.0590634112325688,1.9363394678652457,1.186762450773146,-0.5708202729339411,-0.3120079982696805,0.5205287349526984,0.8611602874639946,0,0,0,0,,
2012-03-14,0.001705618908111,-0.0011969780885961,0.21833414444928304,0.1125870257004639,1.3236914646252116,1.018478200873838,1.9392478226590493,1.2996757942285908,-0.5700882558764793,-0.31283150962088113,0.5190508675855036,0.8701762439673653,0,0,0,0,,
2012-03-15,0.0042336901065414,0.0059494657015602,0.21945925950191095,0.11042345847669614,1.375493296725249,1.048006130921048,1.9874333092748204,1.312485925551205,-0.5682681427786975,-0.3087432242561776,0.5221160286595109,0.8818791147930284,0,0,0,0,,
2012-03-16,0.0070478233335635,0.0011187724767004,0.20903887086490128,0.10543116378513716,1.3325775722968551,1.0005921510652311,1.9827047654611007,1.3317889520502355,-0.5652253729215306,-0.3079698652011429,0.5520109040407086,0.8535397065178361,0,0,0,0,,
2012-03-19,0.0123551745277274,0.0039659715140711,0.2097141209833666,0.10572527799947833,1.35237014295219,0.9941069927396674,1.983575971154234,1.3603869129068111,-0.5598536565237484,-0.30522529339965176,0.5137503435396462,0.849936025022384,0,0,0,0,,
