,RSI_IBEX,MACD_IBEX,Momentum_IBEX,Volatility_IBEX,RSI_SPX,MACD_SPX,Momentum_SPX,Volatility_SPX
2004-10-06,49.980222934804296,0.0005166171293121801,-0.0052447070930883005,0.11408886319965518,51.5639702913702,0.0006590618491005512,0.0023896171885786,0.09983086469053881
2004-10-07,50.13649510134357,0.00016358961252920467,0.0034314461302302,0.10962534503302347,44.755955205547025,-0.0003499788743596945,-0.009834778169651401,0.10733374913332362
2004-10-08,51.35701914600341,-0.0002164077572161813,-0.024698933557255998,0.11010836441152216,49.26874059054258,-0.000808940190685411,-0.0226216938094619,0.10968605436579042
2004-10-11,47.57872341131011,-0.0005426241352250401,-0.012789094193726501,0.10843928261975762,48.323664798534246,-0.00044531953759074054,-0.0012351822219375998,0.10975885429304177
2004-10-12,53.30945534926207,-0.0005594663583013579,-4.809267565351985e-05,0.1071769981609801,55.23818548188117,-0.0004668812329833642,-0.0016624362268898001,0.10967499976619063
2004-10-13,51.76089479492578,-0.0005860585485810354,-0.0028395716933783998,0.10573410812685587,48.77481839199208,-0.0007776497434041594,-0.0139777899432079,0.10988166675503792
2004-10-14,47.64469498046651,-0.0008499164315279331,-0.0060348444928184,0.10806175357640689,44.73626286000776,-0.0010577664142468026,0.0006859551801593009,0.11373133190698424
2004-10-15,53.51421668282115,-0.0006134152646276685,0.0018187973430456002,0.10806698089310512,54.72381971411653,-0.0002928944306170758,0.0119954935854913,0.11370346605513487
2004-10-18,46.659796764895496,-0.0004306707914120154,0.0033004695747768003,0.10645230108986817,49.66098254367499,0.00025860425485735175,0.0032349889548342,0.11425489287540432
2004-10-19,51.28442486998309,0.00028187471133838657,0.0097143992223833,0.11055111095727546,43.768249335610406,-0.00035945511708847103,-0.0074623737177457,0.11600321586644005
2004-10-20,47.500647044916704,-0.00035926967236522996,-0.0064664486772666,0.11150657102284453,50.248927994517544,-7.593728205032135e-05,0.0077169703657302005,0.10561583855440873
2004-10-21,39.98673340994044,0.000149721094514168,0.011795477930134801,0.11099520490122179,44.03637575908403,0.00025053676304156525,0.0119071442670537,0.10489088422785316
2004-10-22,45.25379081397742,0.00022902278553233837,0.0025281655883817996,0.11055577844642962,43.829254873695,-0.00033878228044051644,-0.0142032819030008,0.11010253753537821
