Date,Index,VaR95_exc,VaR99_exc,Severity95
2001-05-29,IBEX,0,0,
2001-05-30,IBEX,0,0,
2001-05-31,IBEX,0,0,
2001-06-01,IBEX,0,0,
2001-06-04,IBEX,0,0,
2001-06-05,IBEX,0,0,
2001-06-06,IBEX,0,0,
2001-06-07,IBEX,0,0,
2001-06-08,IBEX,0,0,
2001-06-11,IBEX,0,0,
2001-06-12,IBEX,0,0,
2001-06-13,IBEX,0,0,
2001-06-14,IBEX,0,0,
2001-06-15,IBEX,0,0,
2001-06-18,IBEX,1,1,-1.7331116964663424
2001-06-19,IBEX,0,0,
2001-06-20,IBEX,0,0,
2001-06-21,IBEX,0,0,
2001-06-22,IBEX,0,0,
2001-06-25,IBEX,0,0,
2001-06-26,IBEX,0,0,
2001-06-27,IBEX,0,0,
2001-06-28,IBEX,0,0,
2001-06-29,IBEX,0,0,
2001-07-02,IBEX,0,0,
2001-07-03,IBEX,0,0,
2001-07-04,IBEX,0,0,
2001-07-05,IBEX,0,0,
2001-07-06,IBEX,1,0,-1.1329871363352937
2001-07-09,IBEX,0,0,
2001-07-10,IBEX,0,0,
2001-07-11,IBEX,1,0,-0.10827105339815235
2001-07-12,IBEX,0,0,
2001-07-13,IBEX,0,0,
2001-07-16,IBEX,0,0,
2001-07-17,IBEX,0,0,
2001-07-18,IBEX,0,0,
2001-07-19,IBEX,0,0,
2001-07-20,IBEX,0,0,
2001-07-23,IBEX,0,0,
2001-07-24,IBEX,0,0,
2001-07-25,IBEX,1,0,-0.4181623766941085
2001-07-26,IBEX,0,0,
2001-07-27,IBEX,0,0,
2001-07-30,IBEX,0,0,
2001-07-31,IBEX,0,0,
2001-08-01,IBEX,0,0,
2001-08-02,IBEX,0,0,
2001-08-03,IBEX,0,0,
2001-08-06,IBEX,0,0,
2001-08-07,IBEX,0,0,
2001-08-08,IBEX,0,0,
2001-08-09,IBEX,0,0,
2001-08-10,IBEX,0,0,
2001-08-13,IBEX,0,0,
2001-08-14,IBEX,0,0,
2001-08-15,IBEX,0,0,
2001-08-16,IBEX,0,0,
2001-08-17,IBEX,0,0,
2001-08-20,IBEX,0,0,
2001-08-21,IBEX,0,0,
2001-08-22,IBEX,0,0,
2001-08-23,IBEX,0,0,
2001-08-24,IBEX,0,0,
2001-08-27,IBEX,0,0,
2001-08-28,IBEX,0,0,
2001-08-29,IBEX,0,0,
2001-08-30,IBEX,1,0,-0.12080726614800907
2001-08-31,IBEX,0,0,
2001-09-03,IBEX,0,0,
2001-09-04,IBEX,0,0,
2001-09-05,IBEX,0,0,
2001-09-06,IBEX,1,0,-0.18509942600955576
2001-09-07,IBEX,0,0,
2001-09-10,IBEX,0,0,
2001-09-11,IBEX,0,0,
2001-09-12,IBEX,1,1,-2.0868020243308716
2001-09-13,IBEX,0,0,
2001-09-14,IBEX,1,1,-3.3868036813718074
2001-09-17,IBEX,0,0,
2001-09-18,IBEX,0,0,
2001-09-19,IBEX,0,0,
2001-09-20,IBEX,1,0,-0.18882300928566575
2001-09-21,IBEX,1,0,-0.4974786842813379
2001-09-24,IBEX,0,0,
2001-09-25,IBEX,0,0,
2001-09-26,IBEX,0,0,
2001-09-27,IBEX,0,0,
2001-09-28,IBEX,0,0,
2001-10-01,IBEX,0,0,
2001-10-02,IBEX,0,0,
2001-10-03,IBEX,0,0,
2001-10-04,IBEX,0,0,
2001-10-05,IBEX,1,0,-1.11266332935742
2001-10-08,IBEX,0,0,
2001-10-09,IBEX,0,0,
2001-10-10,IBEX,0,0,
2001-10-11,IBEX,0,0,
2001-10-12,IBEX,0,0,
2001-10-15,IBEX,0,0,
2001-10-16,IBEX,0,0,
2001-10-17,IBEX,0,0,
2001-10-18,IBEX,0,0,
2001-10-19,IBEX,0,0,
2001-10-22,IBEX,0,0,
2001-10-23,IBEX,0,0,
2001-10-24,IBEX,0,0,
2001-10-25,IBEX,0,0,
2001-10-26,IBEX,0,0,
2001-10-29,IBEX,0,0,
2001-10-30,IBEX,1,0,-0.12792906695401607
2001-10-31,IBEX,0,0,
2001-11-01,IBEX,0,0,
2001-11-02,IBEX,0,0,
2001-11-05,IBEX,0,0,
2001-11-06,IBEX,0,0,
2001-11-07,IBEX,0,0,
2001-11-08,IBEX,0,0,
2001-11-09,IBEX,0,0,
2001-11-12,IBEX,0,0,
2001-11-13,IBEX,0,0,
2001-11-14,IBEX,0,0,
2001-11-15,IBEX,0,0,
2001-11-16,IBEX,0,0,
