Date,Index,Drawdown
2001-07-17,IBEX,-0.3717681581271979
2001-07-18,IBEX,-0.3840886648035502
2001-07-19,IBEX,-0.3733721819341471
2001-07-20,IBEX,-0.377141419972159
2001-07-23,IBEX,-0.3715560133075134
2001-07-24,IBEX,-0.3719386902474785
2001-07-25,IBEX,-0.3886830849388275
2001-07-26,IBEX,-0.3828999160693569
2001-07-27,IBEX,-0.38395042828900994
2001-07-30,IBEX,-0.36906957595457945
2001-07-31,IBEX,-0.36443222467247627
2001-08-01,IBEX,-0.35866491961031144
2001-08-02,IBEX,-0.3548241872404174
2001-08-03,IBEX,-0.3581302100767517
2001-08-06,IBEX,-0.35279397765077525
2001-08-07,IBEX,-0.357947912643119
2001-08-08,IBEX,-0.36765048591564353
2001-08-09,IBEX,-0.37877753842111117
2001-08-10,IBEX,-0.38548131466088875
2001-08-13,IBEX,-0.3754723423880022
2001-08-14,IBEX,-0.36711676625163936
2001-08-15,IBEX,-0.36711676625163936
2001-08-16,IBEX,-0.37670852842907754
2001-08-17,IBEX,-0.3859734525238926
2001-08-20,IBEX,-0.38670766860481853
2001-08-21,IBEX,-0.38628102068042114
2001-08-22,IBEX,-0.3781285478615489
2001-08-23,IBEX,-0.3710040741332621
2001-08-24,IBEX,-0.3606603608385457
2001-08-27,IBEX,-0.362534578968039
2001-08-28,IBEX,-0.3733073624766331
2001-08-29,IBEX,-0.3693976022053105
2001-08-30,IBEX,-0.3840263081105961
2001-08-31,IBEX,-0.3774025438049998
2001-09-03,IBEX,-0.3901087710039508
2001-09-04,IBEX,-0.3798572707493484
2001-09-05,IBEX,-0.39300251989826296
2001-09-06,IBEX,-0.40911222345950304
2001-09-07,IBEX,-0.42253185774788526
2001-09-10,IBEX,-0.42616777971546826
2001-09-11,IBEX,-0.42616777971546826
2001-09-12,IBEX,-0.45231220197351074
2001-09-13,IBEX,-0.45216292131784985
2001-09-14,IBEX,-0.48499570969890926
2001-09-17,IBEX,-0.47153762640771013
2001-09-18,IBEX,-0.4753501292886384
2001-09-19,IBEX,-0.48362309319079155
2001-09-20,IBEX,-0.4993739822099721
2001-09-21,IBEX,-0.516555711316848
2001-09-24,IBEX,-0.48856871922983625
2001-09-25,IBEX,-0.4801123585125172
2001-09-26,IBEX,-0.4763828473995342
2001-09-27,IBEX,-0.46557849438886456
2001-09-28,IBEX,-0.457027198437036
2001-10-01,IBEX,-0.46607751784613216
2001-10-02,IBEX,-0.45747744159720205
2001-10-03,IBEX,-0.46231566516268563
2001-10-04,IBEX,-0.4461378243394447
2001-10-05,IBEX,-0.4686199666640771
2001-10-08,IBEX,-0.46634936023470097
2001-10-09,IBEX,-0.46056990814245846
2001-10-10,IBEX,-0.4422665829271062
2001-10-11,IBEX,-0.44052859711348946
2001-10-12,IBEX,-0.44052859711348946
2001-10-15,IBEX,-0.44358872488580925
2001-10-16,IBEX,-0.4339108377626373
2001-10-17,IBEX,-0.4139093986668573
2001-10-18,IBEX,-0.42258114396312185
2001-10-19,IBEX,-0.43845711685343125
2001-10-22,IBEX,-0.42459603511898125
2001-10-23,IBEX,-0.4112405597880182
2001-10-24,IBEX,-0.4014446453725201
2001-10-25,IBEX,-0.4177358371387083
2001-10-26,IBEX,-0.4119270006992223
2001-10-29,IBEX,-0.4242929533147418
2001-10-30,IBEX,-0.4415558919534721
2001-10-31,IBEX,-0.42613077132856403
2001-11-01,IBEX,-0.42757199681901414
2001-11-02,IBEX,-0.43330659092003054
2001-11-05,IBEX,-0.4152548254934951
2001-11-06,IBEX,-0.4085211916817547
2001-11-07,IBEX,-0.4011460154791324
2001-11-08,IBEX,-0.3833481014926011
2001-11-09,IBEX,-0.39385559842302853
2001-11-12,IBEX,-0.40593286276796137
2001-11-13,IBEX,-0.3825688015065817
2001-11-14,IBEX,-0.3766681035726661
2001-11-15,IBEX,-0.3739710277199517
2001-11-16,IBEX,-0.3713033137533558
2001-11-19,IBEX,-0.36002655066458933
2001-11-20,IBEX,-0.37120577916708775
2001-11-21,IBEX,-0.3797449506027274
2001-11-22,IBEX,-0.3738323582266553
2001-11-23,IBEX,-0.3719506261590193
2001-11-26,IBEX,-0.3696434421005178
2001-11-27,IBEX,-0.37882326157273793
2001-11-28,IBEX,-0.3855577200265773
2001-11-29,IBEX,-0.39113240225538637
2001-11-30,IBEX,-0.3844133381039502
2001-12-03,IBEX,-0.3889782842982217
2001-12-04,IBEX,-0.37359433447445534
2001-12-05,IBEX,-0.35112954584169265
2001-12-06,IBEX,-0.35112954584169265
2001-12-07,IBEX,-0.3601841929345866
2001-12-10,IBEX,-0.37080658131270416
2001-12-11,IBEX,-0.3651865982138027
2001-12-12,IBEX,-0.37289208939372487
2001-12-13,IBEX,-0.3887455475067637
2001-12-14,IBEX,-0.39153654904830737
2001-12-17,IBEX,-0.3726207668419246
2001-12-18,IBEX,-0.37770849584906696
2001-12-19,IBEX,-0.38860555308960576
2001-12-20,IBEX,-0.39556145344595306
2001-12-21,IBEX,-0.3917483632434573
2001-12-24,IBEX,-0.3917483632434573
2001-12-25,IBEX,-0.3917483632434573
