Date,Index,Return,VaR95,VaR99,Breach95,Breach99
2001-01-10,IBEX,0.0004173714200501,-2.409968584639213,-3.78219379649684,0,0
2001-01-11,IBEX,0.0118224421927073,-2.3177260047085726,-3.6374287087648924,0,0
2001-01-12,IBEX,0.019439160402887,-2.3101281784437755,-3.6255047145897246,0,0
2001-01-16,IBEX,-0.0171118629145769,-2.3603805625431593,-3.704370578904848,0,0
2001-01-17,IBEX,0.0301605247527296,-2.3969530204115888,-3.761767228867123,0,0
2001-01-18,IBEX,0.0050470963176116,-2.516520096102017,-3.949415256656376,0,0
2001-01-19,IBEX,-0.0115149770324045,-2.446049169375932,-3.83881850299094,0,0
2001-01-22,IBEX,0.0063781156083788,-2.4337822820747643,-3.819566905543354,0,0
2001-01-23,IBEX,0.0080718018896787,-2.3780117377841594,-3.7320408655826482,0,0
2001-01-24,IBEX,0.0015630543919885,-2.338215320460744,-3.6695845482336176,0,0
2001-01-25,IBEX,0.0015605186811815,-2.2549037256741573,-3.5388357081920945,0,0
2001-01-26,IBEX,-0.0041439333523276,-2.176279510807163,-3.415443220995462,0,0
2001-01-29,IBEX,-0.0139921799149709,-2.1316752676458686,-3.345441523522157,0,0
2001-01-30,IBEX,0.0086360443363609,-2.1694865027896384,-3.404782304937388,0,0
2001-01-31,IBEX,0.0079197604588449,-2.1504763140372813,-3.3749478006921128,0,0
2001-02-01,IBEX,0.0006916380066701,-2.127370692717683,-3.3386859430993625,0,0
2001-02-02,IBEX,-0.0274908337115406,-2.0491278118314638,-3.215891919727393,0,0
2001-02-05,IBEX,-0.0001827659997853,-2.2153092686099667,-3.4766963463604292,0,0
2001-02-06,IBEX,0.0089073405808949,-2.138125970017296,-3.3555652266474874,0,0
2001-02-07,IBEX,-0.0054603514537246,-2.123877086461768,-3.3332030932428354,0,0
2001-02-08,IBEX,0.014079547896849,-2.0934278518275873,-3.285416202129183,0,0
2001-02-09,IBEX,-0.0084682232703576,-2.125628000237976,-3.3359509694038705,0,0
2001-02-12,IBEX,0.0159941464155457,-2.1191397325997667,-3.3257683115187597,0,0
2001-02-13,IBEX,-0.0041983561274899,-2.1643757369807797,-3.3967614921928493,0,0
2001-02-14,IBEX,-0.0297288241277973,-2.121029934390658,-3.3287347856600418,0,0
2001-02-15,IBEX,0.0107618582074236,-2.2937879954506273,-3.599860505306573,0,0
2001-02-16,IBEX,-0.0077131547061357,-2.2804549635483347,-3.578935705344131,0,0
