iteration,train_start,train_end,test_end,model,index,mae,rmse
57,2013-07-12,2023-03-09,2023-06-06,EGARCH,IBEX,0.012109420839915765,0.016231195529414506
58,2013-10-09,2023-06-06,2023-09-01,EGARCH,IBEX,0.00957241945123812,0.011477765727338538
59,2014-01-06,2023-09-01,2023-11-29,EGARCH,IBEX,0.009805663330464988,0.011858261387630348
60,2014-04-03,2023-11-29,2024-02-26,EGARCH,IBEX,0.008639044515215992,0.01052038477622273
61,2014-07-01,2024-02-26,2024-05-23,EGARCH,IBEX,0.008381199506916567,0.010507413461572005
62,2014-09-26,2024-05-23,2024-08-20,EGARCH,IBEX,0.011593845090164458,0.01430745424087131
63,2014-12-24,2024-08-20,2024-11-15,EGARCH,IBEX,0.008655085392907911,0.011148053324028406
64,2015-03-23,2024-11-15,2025-02-12,EGARCH,IBEX,0.008798996894568019,0.010499149267337301
65,2015-06-18,2025-02-12,2025-05-12,EGARCH,IBEX,0.012666345171439336,0.019055901669549017
66,2015-09-15,2025-05-12,2025-08-07,EGARCH,IBEX,0.008926437691874305,0.01121320501142571
1,2000-01-04,2009-08-31,2009-11-26,EGARCH,SPX,0.010305703031947687,0.013154258424288537
2,2000-03-31,2009-11-26,2010-02-23,EGARCH,SPX,0.010530369249324208,0.013463908343518209
3,2000-06-28,2010-02-23,2010-05-21,EGARCH,SPX,0.010398882204633789,0.015542255436332638
4,2000-09-25,2010-05-21,2010-08-18,EGARCH,SPX,0.01721457389108349,0.020316214004442494
5,2000-12-21,2010-08-18,2010-11-15,EGARCH,SPX,0.009679866785607463,0.011890503157348395
6,2001-03-20,2010-11-15,2011-02-10,EGARCH,SPX,0.006243614705074578,0.008034660152086035
7,2001-06-15,2011-02-10,2011-05-10,EGARCH,SPX,0.008297428564268667,0.010799152232300917
8,2001-09-12,2011-05-10,2011-08-05,EGARCH,SPX,0.012815695822250065,0.01649019111402447
9,2001-12-10,2011-08-05,2011-11-02,EGARCH,SPX,0.02310849348219354,0.02978451295216134
10,2002-03-07,2011-11-02,2012-01-30,EGARCH,SPX,0.014788949374496934,0.01847104251377809
11,2002-06-04,2012-01-30,2012-04-26,EGARCH,SPX,0.007259081653579588,0.009060897117063106
12,2002-08-30,2012-04-26,2012-07-24,EGARCH,SPX,0.012447990515404286,0.014715406405872633
13,2002-11-27,2012-07-24,2012-10-19,EGARCH,SPX,0.007644379989451196,0.00887786491252802
14,2003-02-24,2012-10-19,2013-01-16,EGARCH,SPX,0.009667025805992751,0.01137665360324164
15,2003-05-22,2013-01-16,2013-04-15,EGARCH,SPX,0.006067172040949994,0.008249408336938872
16,2003-08-19,2013-04-15,2013-07-11,EGARCH,SPX,0.00854973539879221,0.011292238647301668
17,2003-11-14,2013-07-11,2013-10-08,EGARCH,SPX,0.007824371126265607,0.009362142941940443
18,2004-02-11,2013-10-08,2014-01-03,EGARCH,SPX,0.00607170785228895,0.007393472682381182
19,2004-05-10,2014-01-03,2014-04-02,EGARCH,SPX,0.007819653385260753,0.010219874742521154
20,2004-08-05,2014-04-02,2014-06-30,EGARCH,SPX,0.006708453372550794,0.008737458873501863
21,2004-11-02,2014-06-30,2014-09-25,EGARCH,SPX,0.0065313627305503335,0.008443210989510062
22,2005-01-28,2014-09-25,2014-12-23,EGARCH,SPX,0.008991769362350147,0.011868633095218632
23,2005-04-27,2014-12-23,2015-03-20,EGARCH,SPX,0.009892781485111744,0.012250414876060217
24,2005-07-25,2015-03-20,2015-06-17,EGARCH,SPX,0.008875207248117453,0.010276525243820146
25,2005-10-20,2015-06-17,2015-09-14,EGARCH,SPX,0.01391669480373732,0.018361894024508666
26,2006-01-17,2015-09-14,2015-12-10,EGARCH,SPX,0.011246710703275443,0.013459247782905841
27,2006-04-14,2015-12-10,2016-03-08,EGARCH,SPX,0.015892562921696916,0.019348392363179725
28,2006-07-12,2016-03-08,2016-06-03,EGARCH,SPX,0.00722116452940058,0.00864522996227059
29,2006-10-09,2016-06-03,2016-08-31,EGARCH,SPX,0.007793613338737754,0.010326264847768215
30,2007-01-04,2016-08-31,2016-11-28,EGARCH,SPX,0.008782988373695948,0.010599068029296457
